Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 01/03  07 ,14.03333333,56.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  08 ,14.23333333,55.16666667,19.91818333,61.61866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  09 ,17.06666667,47.83333333,77.67963333,387.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  10 ,18.88333333,41.33333333,121.76575,599.4666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  11 ,19.93333333,38.33333333,159.1579667,690.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  12 ,21.71666667,33.83333333,187.0082833,734.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  13 ,22.71666667,31.33333333,215.2549,720.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  14 ,24.06666667,27.83333333,228.8933167,693.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  15 ,25.18333333,25.66666667,245.3002,606.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  16 ,25.66666667,24.66666667,231.7939667,456.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  17 ,25.51666667,24.83333333,188.43495,213.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  18 ,25.08333333,24.83333333,65.58151667,67.67666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  19 ,23.8,27.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  20 ,20.88333333,36.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  21 ,20.83333333,36.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  22 ,21.15,36.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  23 ,21.13333333,36.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/03  24 ,20.58333333,37.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  01 ,19.2,41.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  02 ,17.38333333,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  03 ,17.13333333,46.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  04 ,16.35,48.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
