Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 04/08  19 ,31.53333333,11.33333333,33.1245,107.3883333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/08  20 ,30.55,11.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/08  21 ,28.85,13.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/08  22 ,27.51666667,15.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/08  23 ,25.65,19.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/08  24 ,24.85,20.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  01 ,24,21.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  02 ,23.16666667,23.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  03 ,22.63333333,23.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  04 ,22.26666667,24.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  05 ,20.8,26.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  06 ,20.18333333,27.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  07 ,19.61666667,29,8.39105,19.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  08 ,20.68333333,29,69.486,253.0166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  09 ,24.21666667,27.83333333,131.4830667,511.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  10 ,25.5,27.33333333,167.18195,648.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  11 ,26.98333333,25,195.3774333,733.3666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  12 ,28.43333333,21,233.8368833,748.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  13 ,29.7,16.66666667,272.9818,759.6166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  14 ,31,13,452.6438833,436.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  15 ,31.8,13,354.2660667,653.6166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  16 ,32.5,11,341.64715,464.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  17 ,32.48333333,10,220.7772667,366.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  18 ,32.2,10,139.2606833,338.6833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  19 ,31.21666667,11,37.45701667,69.85333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  20 ,30.11666667,11.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  21 ,28.46666667,13.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  22 ,27.48333333,19.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  23 ,26.18333333,20.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/09  24 ,24.95,23.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  01 ,23.71666667,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  02 ,22.5,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  03 ,22.15,25.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  04 ,21.93333333,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  05 ,21.01666667,28.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  06 ,20.5,31.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  07 ,20.41666667,31.16666667,9.312033333,19.87533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  08 ,21.98333333,29.16666667,72.31511667,296.0333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  09 ,24.43333333,26.66666667,130.6075833,507.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  10 ,26.01666667,22.83333333,174.1768167,643.7666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  11 ,26.86666667,22.66666667,207.29385,718.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  12 ,28.33333333,18.83333333,227.5006,774.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  13 ,29.28333333,16.83333333,250.0462,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  14 ,31.03333333,14.33333333,329.8276833,708.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  15 ,31.7,13.66666667,404.5143333,456.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  16 ,32.31666667,13.33333333,366.3634333,141.0866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  17 ,32.1,13.33333333,272.9697833,220.3616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  18 ,32.06666667,13,140.94145,189.1316667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  19 ,30.63333333,17.33333333,24.5285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  20 ,27.98333333,23.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  21 ,26.95,25.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  22 ,24.85,28.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  23 ,22.83333333,36.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/10  24 ,22.83333333,33.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  01 ,22.53333333,39.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  02 ,19.38333333,60.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  03 ,18.55,68.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  04 ,19.13333333,66.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  05 ,19.16666667,66.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  06 ,19.05,67.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  07 ,18.08333333,69.66666667,11.71171667,41.11933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  08 ,19.56666667,59,63.1089,355.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  09 ,22.53333333,44.16666667,252.64235,236.5183333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  10 ,23.73333333,34.5,413.9229833,38.26766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  11 ,24.75,32.16666667,572.3113833,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  12 ,25.98333333,29.5,508.5986667,373.9616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  13 ,26.83333333,26.33333333,573.5341667,184.9183333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  14 ,28.6,22.83333333,562.4761167,424.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  15 ,28.6,21.66666667,369.5689167,563.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  16 ,29.2,20.5,287.4530833,497.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  17 ,29.26666667,19.66666667,225.7844167,268.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  18 ,29.28333333,19.33333333,153.1264167,344.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  19 ,27.9,22.83333333,25.73008333,34.84966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  20 ,26.85,24.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  21 ,26.18333333,25.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  22 ,25.5,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  23 ,24.7,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/11  24 ,24.25,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  01 ,23.6,33.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  02 ,23.03333333,35.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  03 ,22.48333333,38.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  04 ,21.76666667,40.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  05 ,21.26666667,43.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  06 ,18.48333333,64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  07 ,18.86666667,64.33333333,19.44761667,17.83866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  08 ,20.5,57.16666667,131.7512667,110.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  09 ,22.71666667,42.83333333,253.6099833,70.64333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  10 ,23.61666667,38,322.1965,22.44416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  11 ,24.41666667,35.66666667,315.1878167,193.5701667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  12 ,26.21666667,32.16666667,265.41235,795.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  13 ,27.3,27.83333333,213.6176667,840.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  14 ,28.33333333,26.16666667,224.5542,824.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  15 ,29.4,24,248.55705,767.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  16 ,29.71666667,23.16666667,202.8837333,517.0063333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  17 ,29.28333333,23,61.47445,0.001166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  18 ,26.51666667,26.66666667,20.32796667,6.384166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  19 ,24.35,36.16666667,39.09868333,68.38666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  20 ,24.06666667,35.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  21 ,23.41666667,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  22 ,20.4,58.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  23 ,21.53333333,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/12  24 ,21.36666667,47.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  01 ,20.26666667,52.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  02 ,19.51666667,56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  03 ,19.56666667,52.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  04 ,18.71666667,56.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  05 ,18.41666667,57.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  06 ,17.75,59.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  07 ,17.51666667,61.33333333,11.25768333,46.27816667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  08 ,19.68333333,55.66666667,67.51143333,374.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  09 ,22.28333333,48.16666667,116.5662,599.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  10 ,23.58333333,42.66666667,149.5817167,719.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  11 ,24.68333333,39.16666667,181.0072667,785.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  12 ,26.1,34.5,196.31335,835.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  13 ,27.36666667,30.16666667,191.5400167,879.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  14 ,28.81666667,25,224.3933333,863.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  15 ,30.2,18.66666667,241.8157667,701.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  16 ,30.45,16,299.0415667,238.1416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  17 ,31.08333333,13.66666667,182.4832833,693.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  18 ,31.1,13.16666667,116.0241833,509.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  19 ,30.01666667,14.33333333,39.1505,216.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  20 ,28.43333333,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  21 ,26.71666667,18.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  22 ,25.5,23.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  23 ,23.4,25.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/13  24 ,22.68333333,25.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  01 ,22.06666667,27.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  02 ,21.38333333,29.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  03 ,20.81666667,30.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  04 ,20.36666667,33.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  05 ,19.93333333,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  06 ,19.18333333,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  07 ,19.05,37,10.13673333,76.46416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  08 ,21.7,33.5,49.50103333,502.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  09 ,23.9,33.16666667,81.63405,722.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  10 ,24.65,31.16666667,97.32641667,838.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  11 ,26.13333333,28.33333333,107.9061833,912.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  12 ,28.18333333,18.66666667,122.95075,957.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  13 ,29.73333333,13,134.27075,970.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  14 ,30.5,13.66666667,179.30375,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  15 ,31.01666667,13.66666667,204.0396333,792.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  16 ,31.73333333,11.66666667,195.14175,882.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  17 ,31.53333333,11,139.3207167,838.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  18 ,30.91666667,11.5,98.4845,583.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  19 ,30.1,12.33333333,33.39106667,226.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  20 ,28.71666667,13.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  21 ,26.73333333,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  22 ,24.55,17.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  23 ,23.81666667,19.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/14  24 ,22.86666667,18.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  01 ,22.26666667,17.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  02 ,22.01666667,19.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  03 ,21.38333333,20.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  04 ,21.23333333,23.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  05 ,20.66666667,23.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  06 ,20.5,25.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  07 ,20.5,27.16666667,10.21278333,74.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  08 ,22.43333333,27,54.07086667,474.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  09 ,24.43333333,27.33333333,91.94656667,685.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  10 ,24.85,29,121.8023,782.7166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  11 ,25.96666667,29.16666667,139.6823,853.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  12 ,27.51666667,26,147.7749333,900.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  13 ,29.21666667,18.33333333,139.6535833,954.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  14 ,30.45,14,167.9307167,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  15 ,30.98333333,12.5,147.7494,922.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  16 ,31.46666667,12,154.8646833,827.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  17 ,31.96666667,11.16666667,144.7405833,720.1833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  18 ,31.88333333,11.33333333,107.6809,531.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  19 ,31,12.5,29.99615,119.0668333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  20 ,29.66666667,14.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  21 ,28.18333333,17.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  22 ,26.08333333,22.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  23 ,23.95,26.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/15  24 ,22.3,28.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  01 ,21.28333333,29.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  02 ,20.66666667,31.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  03 ,20.01666667,32.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  04 ,19.43333333,34.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  05 ,18.91666667,35.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  06 ,18.68333333,34.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  07 ,18.1,37.83333333,13.02425,36.35666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  08 ,19.76666667,33.16666667,73.01771667,367.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  09 ,21.16666667,31,119.5952,606.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  10 ,21.85,29.83333333,154.9310667,713.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  11 ,23.6,26.5,185.5894,773.3666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  12 ,25.63333333,23.33333333,211.4255,798.7666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  13 ,27.4,20.5,225.8800833,808.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  14 ,29.21666667,18.16666667,245.0691167,785.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  15 ,29.95,16.33333333,327.7644,618.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  16 ,30.38333333,15.33333333,326.7216167,235.4766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  17 ,30.78333333,15,261.4803167,95.33716667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  18 ,30.66666667,15,146.0383667,50.44833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  19 ,29.91666667,15.83333333,30.39675,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  20 ,28.48333333,19.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  21 ,27.48333333,21.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  22 ,27.03333333,22.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  23 ,27.08333333,18.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/16  24 ,26.78333333,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  01 ,26.05,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  02 ,25.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  03 ,24.71666667,20.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  04 ,23.71666667,22.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  05 ,21.63333333,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  06 ,20.55,28.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  07 ,20.31666667,29.33333333,14.91106667,30.11783333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  08 ,22.03333333,27.66666667,85.90175,295.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  09 ,24.6,23.33333333,142.6472,534.4833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  10 ,25.7,19.66666667,174.3686833,671.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  11 ,27.58333333,18.66666667,206.4234167,738.8166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  12 ,28.48333333,19.83333333,240.1035833,761.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  13 ,29.1,18.16666667,252.90415,769.4833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  14 ,30.85,15.66666667,268.2873833,741.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  15 ,31.55,14.33333333,300.1537167,621.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  16 ,32.21666667,14,289.0483167,421.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  17 ,32.2,14,218.5856,245.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  18 ,32.21666667,13.83333333,138.9047167,222.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  19 ,31.61666667,14.16666667,35.8922,8.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  20 ,30.5,18.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  21 ,28.75,20.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  22 ,27.4,22.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  23 ,26.28333333,25.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/17  24 ,25.55,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  01 ,25.21666667,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  02 ,24.23333333,27.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  03 ,24.25,25.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  04 ,23.75,29.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  05 ,23.41666667,29.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  06 ,23.16666667,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  07 ,22.73333333,29.5,12.62051667,20.97666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  08 ,23.53333333,31.33333333,84.67933333,270.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  09 ,24.75,32.5,144.6833833,495.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  10 ,26.3,30.83333333,184.74415,630.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  11 ,27.55,28.16666667,215.3223833,708.7833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  12 ,29.15,24.66666667,246.6273,731.5166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  13 ,30.75,20,282.3239667,713.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  14 ,31.26666667,19,335.8072333,636.6833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  15 ,32.75,15.16666667,383.3643167,477.2833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  16 ,32.95,14,336.01785,335.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  17 ,33.15,14,266.1585667,150.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  18 ,32.76666667,14.16666667,94.17933333,5.973666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  19 ,29.68333333,20,7.648966667,0.000333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  20 ,29.35,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 04/18  21 ,28.96666667,18.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
